timestamp,event_type,symbol,side,price,qty,reason,status,pnl
2026-03-17 23:13:49,TRADE,ETHUSDT,SELL,2330.2,0.019,,,0.0
2026-03-17 23:14:12,TRADE,ETHUSDT,BUY,2333.72,0.023,,,0.0
2026-03-17 23:14:21,TRADE,SOLUSDT,BUY,94.22,0.34,,,0.0
2026-03-17 23:14:36,TRADE,ETHUSDT,BUY,2333.35,0.019,,,0.0
2026-03-17 23:14:46,TRADE,ETHUSDT,BUY,2333.37,0.014,,,0.0
2026-03-17 23:14:57,TRADE,ETHUSDT,SELL,2331.68,0.015,,,0.0
2026-03-17 23:15:18,TRADE,ETHUSDT,BUY,2328.82,0.019,,,0.0
2026-03-17 23:16:02,TRADE,ETHUSDT,BUY,2330.25,0.016,,,0.0
2026-03-17 23:16:10,TRADE,SOLUSDT,BUY,94.14,0.36,,,0.0
2026-03-17 23:16:13,TRADE,ETHUSDT,SELL,2329.19,0.017,,,0.0
2026-03-17 23:16:24,TRADE,ETHUSDT,BUY,2329.89,0.023,,,0.0
2026-03-17 23:16:45,TRADE,ETHUSDT,SELL,2329.25,0.016,,,0.0
2026-03-17 23:16:58,TRADE,ETHUSDT,BUY,2331.79,0.014,,,0.0
2026-03-17 23:17:08,TRADE,ETHUSDT,SELL,2330.38,0.015,,,0.0
2026-03-17 23:17:11,TRADE,SOLUSDT,BUY,94.2,0.36,,,0.0
2026-03-17 23:17:26,TRADE,ETHUSDT,SELL,2329.55,0.017,,,0.0
2026-03-17 23:17:38,TRADE,ETHUSDT,SELL,2328.58,0.023,,,0.0
2026-03-17 23:17:55,TRADE,ETHUSDT,SELL,2325.24,0.017,,,0.0
2026-03-17 23:18:08,TRADE,ETHUSDT,SELL,2321.99,0.017,,,0.0
2026-03-17 23:18:23,TRADE,ETHUSDT,BUY,2324.47,0.014,,,0.0
2026-03-17 23:18:30,TRADE,SOLUSDT,BUY,93.89,0.34,,,0.0
2026-03-17 23:18:34,TRADE,ETHUSDT,BUY,2325.27,0.019,,,0.0
2026-03-17 23:18:51,TRADE,ETHUSDT,SELL,2324.81,0.017,,,0.0
2026-03-17 23:19:02,TRADE,ETHUSDT,BUY,2326.49,0.019,,,0.0
2026-03-17 23:19:21,TRADE,ETHUSDT,BUY,2327.74,0.017,,,0.0
2026-03-17 23:19:32,TRADE,ETHUSDT,SELL,2327.01,0.019,,,0.0
2026-03-17 23:19:37,TRADE,SOLUSDT,SELL,93.94,0.37,,,0.0
2026-03-17 23:20:02,TRADE,ETHUSDT,BUY,2328.52,0.017,,,0.0
2026-03-17 23:20:15,TRADE,ETHUSDT,SELL,2328.66,0.019,,,0.0
2026-03-17 23:20:38,TRADE,ETHUSDT,BUY,2331.95,0.023,,,0.0
2026-03-17 23:20:53,TRADE,SOLUSDT,SELL,94.14,0.36,,,0.0
2026-03-17 23:21:01,TRADE,ETHUSDT,SELL,2332.45,0.015,,,0.0
2026-03-17 23:21:08,TRADE,SOLUSDT,BUY,94.14,0.36,,,0.0
2026-03-17 23:21:12,TRADE,ETHUSDT,SELL,2330.76,0.017,,,0.0
2026-03-17 23:21:37,TRADE,ETHUSDT,SELL,2332.44,0.017,,,0.0
2026-03-17 23:21:54,TRADE,ETHUSDT,BUY,2331.44,0.014,,,0.0
2026-03-17 23:22:09,TRADE,ETHUSDT,BUY,2331.93,0.019,,,0.0
2026-03-17 23:22:20,TRADE,SOLUSDT,BUY,94.05,0.34,,,0.0
2026-03-17 23:22:31,TRADE,ETHUSDT,SELL,2330.83,0.019,,,0.0
2026-03-17 23:22:54,TRADE,ETHUSDT,SELL,2330.17,0.017,,,0.0
2026-03-17 23:23:05,TRADE,ETHUSDT,SELL,2330.2,0.017,,,0.0
2026-03-17 23:23:15,TRADE,ETHUSDT,SELL,2329.81,0.023,,,0.0
2026-03-17 23:23:35,TRADE,ETHUSDT,BUY,2330.79,0.017,,,0.0
2026-03-17 23:24:04,TRADE,ETHUSDT,SELL,2329.36,0.017,,,0.0
2026-03-17 23:24:35,TRADE,ETHUSDT,BUY,2331.67,0.023,,,0.0
2026-03-17 23:25:01,TRADE,DOGEUSDT,SELL,0.0989,388.0,,,0.0
2026-03-17 23:25:04,TRADE,ETHUSDT,SELL,2329.79,0.014,,,0.0
2026-03-17 23:25:04,TRADE,SOLUSDT,SELL,94.05,0.36,,,0.0
2026-03-17 23:25:23,TRADE,ETHUSDT,SELL,2327.23,0.017,,,0.0
2026-03-17 23:26:00,TRADE,SOLUSDT,BUY,93.95,0.36,,,0.0
2026-03-17 23:26:03,TRADE,ETHUSDT,BUY,2327.61,0.014,,,0.0
2026-03-17 23:26:21,TRADE,ETHUSDT,BUY,2329.7,0.017,,,0.0
2026-03-17 23:27:03,TRADE,ETHUSDT,SELL,2328.28,0.017,,,0.0
